iter	Passed	Remaining
0	403	402966
1	570	284799
2	749	249166
3	879	218952
4	1130	224948
5	1278	211734
6	1406	199560
7	1546	191716
8	1681	185140
9	1824	180610
10	2005	180349
11	2164	178213
12	2328	176751
13	2503	176309
14	2659	174620
15	2798	172093
16	2949	170534
17	3120	170236
18	3269	168790
19	3404	166817
20	3552	165591
21	3711	164972
22	3850	163556
23	4012	163180
24	4170	162655
25	4318	161783
26	4452	160468
27	4587	159252
28	4722	158119
29	4856	157029
30	4996	156170
31	5124	155020
32	5255	154000
33	5393	153224
34	5546	152927
35	5681	152149
36	5813	151310
37	5961	150912
38	6092	150136
39	6220	149299
40	6348	148491
41	6479	147784
42	6610	147127
43	6750	146673
44	6918	146827
45	7045	146122
46	7178	145555
47	7310	144987
48	7437	144349
49	7566	143767
50	7695	143200
51	7826	142688
52	7962	142275
53	8094	141810
54	8232	141445
55	8385	141352
56	8543	141344
57	8678	140949
58	8809	140501
59	8945	140151
60	9074	139690
61	9207	139300
62	9337	138883
63	9473	138555
64	9610	138242
65	9743	137887
66	9878	137558
67	10004	137115
68	10175	137295
69	10310	136985
70	10441	136626
71	10571	136258
72	10703	135925
73	10834	135582
74	10964	135223
75	11093	134867
76	11224	134550
77	11373	134435
78	11512	134212
79	11641	133874
80	11769	133538
81	11914	133382
82	12050	133140
83	12199	133032
84	12350	132949
85	12487	132718
86	12625	132494
87	12768	132323
88	12903	132082
89	13045	131906
90	13187	131727
91	13326	131522
92	13475	131426
93	13615	131234
94	13774	131222
95	13915	131033
96	14143	131667
97	14271	131357
98	14404	131096
99	14541	130872
100	14676	130632
101	14812	130406
102	14969	130367
103	15113	130205
104	15243	129931
105	15384	129753
106	15526	129580
107	15658	129324
108	15790	129072
109	15923	128839
110	16055	128588
111	16187	128341
112	16318	128092
113	16448	127838
114	16584	127627
115	16714	127377
116	16844	127129
117	16975	126883
118	17104	126627
119	17234	126384
120	17364	126142
121	17488	125863
122	17619	125629
123	17776	125579
124	17922	125456
125	18049	125203
126	18184	125001
127	18317	124788
128	18449	124570
129	18576	124321
130	18710	124120
131	18844	123917
132	18988	123779
133	19143	123720
134	19278	123525
135	19405	123282
136	19542	123102
137	19674	122893
138	19812	122722
139	19953	122568
140	20084	122356
141	20215	122149
142	20344	121925
143	20475	121713
144	20606	121506
145	20739	121309
146	20879	121155
147	21034	121091
148	21173	120930
149	21305	120731
150	21437	120530
151	21566	120318
152	21699	120125
153	21831	119929
154	21988	119875
155	22128	119721
156	22258	119517
157	22392	119332
158	22551	119281
159	22695	119153
160	22831	118978
161	22965	118796
162	23098	118610
163	23226	118398
164	23367	118252
165	23528	118210
166	23675	118091
167	23808	117908
168	23949	117761
169	24080	117571
170	24220	117419
171	24370	117318
172	24505	117145
173	24637	116955
174	24770	116773
175	24903	116593
176	25034	116403
177	25186	116308
178	25322	116145
179	25455	115963
180	25623	115941
181	25760	115780
182	25892	115597
183	26028	115431
184	26178	115327
185	26330	115230
186	26464	115056
187	26596	114872
188	26733	114714
189	26890	114639
190	27046	114559
191	27182	114391
192	27311	114200
193	27448	114040
194	27584	113872
195	27718	113703
196	27872	113614
197	28017	113483
198	28143	113279
199	28277	113110
200	28409	112931
201	28541	112754
202	28674	112578
203	28802	112385
204	28934	112207
205	29063	112021
206	29199	111859
207	29339	111716
208	29470	111536
209	29604	111369
210	29781	111364
211	29926	111237
212	30061	111073
213	30192	110894
214	30324	110719
215	30454	110537
216	30590	110379
217	30714	110179
218	30840	109984
219	30977	109828
220	31107	109649
221	31234	109460
222	31363	109281
223	31494	109105
224	31622	108921
225	31754	108751
226	31892	108602
227	32023	108430
228	32198	108407
229	32337	108261
230	32466	108082
231	32606	107937
232	32769	107870
233	32910	107732
234	33061	107626
235	33204	107492
236	33337	107325
237	33477	107185
238	33622	107057
239	33767	106931
240	33917	106818
241	34054	106666
242	34193	106520
243	34323	106345
244	34466	106212
245	34608	106076
246	34753	105948
247	34897	105817
248	35035	105669
